"i","lon","lat","x","y","z","gbli","land"
170,-30.2489752630851,-56.743890269085,0.566493002730344,-0.330355377344334,-1,1860,TRUE
171,-26.0359531871754,-57.7696225035139,0.566493002730344,-0.276737270140414,-1,1862,TRUE
172,-21.6233468567277,-58.64282884862,0.566493002730344,-0.224557509317129,-1,1863,TRUE
173,-17.0297943918761,-59.3544741614943,0.566493002730344,-0.173516460137856,-1,1721,TRUE
174,-12.282888732826,-59.8963731361194,0.566493002730344,-0.123338236136739,-1,1723,TRUE
175,-7.41888097384234,-60.2617375652688,0.566493002730344,-0.0737644315224493,-1,1725,TRUE
176,-2.48132456361063,-60.4456944810722,0.566493002730344,-0.0245486221089254,-1,1727,TRUE
177,2.48132456361063,-60.4456944810722,0.566493002730344,0.0245486221089254,-1,1585,TRUE
178,7.41888097384234,-60.2617375652688,0.566493002730344,0.0737644315224493,-1,1587,TRUE
179,12.282888732826,-59.8963731361194,0.566493002730344,0.123338236136739,-1,1589,TRUE
180,17.0297943918761,-59.3544741614943,0.566493002730344,0.173516460137856,-1,1591,TRUE
181,21.6233468567277,-58.64282884862,0.566493002730344,0.224557509317129,-1,1737,TRUE
182,26.0359531871754,-57.7696225035139,0.566493002730344,0.276737270140414,-1,1738,TRUE
183,30.2489752630851,-56.743890269085,0.566493002730344,0.330355377344334,-1,1740,TRUE
184,34.2521566861531,-55.5750099367559,0.566493002730344,0.385742566271121,-1,1886,TRUE
185,38.042473666665,-54.2722810910179,0.566493002730344,0.443269513890864,-1,1887,TRUE
186,41.6227101693477,-52.8446117912164,0.566493002730344,0.503357699799294,-1,2033,TRUE
187,45,-51.3003134869911,0.566493002730344,0.566493002730344,-1,2034,TRUE
188,48.1844964732768,-49.646991674952,0.566493002730344,0.633243016177569,-1,2179,TRUE
189,51.1882529339321,-47.8915136235272,0.566493002730344,0.704279460865044,-1,2324,TRUE
190,54.0243389715465,-46.0400334593448,0.566493002730344,0.780407659653944,-1,2470,TRUE
191,56.7061803372305,-44.0980568840552,0.566493002730344,0.86260593225674,-1,2471,TRUE
192,59.2470917599413,-42.0705310469111,0.566493002730344,0.952079146700925,-1,2616,TRUE
193,-62.1348995338213,-42.8781601510149,0.503357699799294,-0.952079146700925,-1,2711,TRUE
194,-59.7350937768602,-45.0364582706496,0.503357699799294,-0.86260593225674,-1,2568,TRUE
195,-57.178255642105,-47.1184427662998,0.503357699799294,-0.780407659653944,-1,2425,TRUE
196,-54.4461139234604,-49.1183572808101,0.503357699799294,-0.704279460865044,-1,2282,TRUE
197,-51.519209195562,-51.0296093712881,0.503357699799294,-0.633243016177569,-1,2283,TRUE
198,-48.3772898306523,-52.8446117912164,0.503357699799294,-0.566493002730344,-1,2141,TRUE
199,-45,-54.5546365094029,0.503357699799294,-0.503357699799294,-1,1998,TRUE
200,-41.3679613010831,-56.1497022351014,0.503357699799294,-0.443269513890864,-1,1999,TRUE
201,-37.4643486475334,-57.6185258930061,0.503357699799294,-0.385742566271121,-1,1857,TRUE
202,-33.2770271166561,-58.9485789932351,0.503357699799294,-0.330355377344334,-1,1715,TRUE
203,-28.8012265981246,-60.1262980287441,0.503357699799294,-0.276737270140414,-1,1716,TRUE
204,-24.042565333596,-61.1374981569526,0.503357699799294,-0.224557509317129,-1,1718,TRUE
205,-19.0199943302581,-61.9680234927105,0.503357699799294,-0.173516460137856,-1,1576,TRUE
206,-13.7679757924584,-62.6046279612373,0.503357699799294,-0.123338236136739,-1,1578,TRUE
207,-8.33705361304839,-63.0360172017485,0.503357699799294,-0.0737644315224493,-1,1581,TRUE
208,-2.79208779203434,-63.2539080902576,0.503357699799294,-0.0245486221089254,-1,1583,TRUE
209,2.79208779203434,-63.2539080902576,0.503357699799294,0.0245486221089254,-1,1441,TRUE
210,8.33705361304839,-63.0360172017485,0.503357699799294,0.0737644315224493,-1,1443,TRUE
211,13.7679757924584,-62.6046279612373,0.503357699799294,0.123338236136739,-1,1446,TRUE
212,19.0199943302581,-61.9680234927105,0.503357699799294,0.173516460137856,-1,1448,TRUE
213,24.042565333596,-61.1374981569526,0.503357699799294,0.224557509317129,-1,1594,TRUE
214,28.8012265981246,-60.1262980287441,0.503357699799294,0.276737270140414,-1,1596,TRUE
215,33.2770271166561,-58.9485789932351,0.503357699799294,0.330355377344334,-1,1597,TRUE
216,37.4643486475334,-57.6185258930061,0.503357699799294,0.385742566271121,-1,1743,TRUE
217,41.3679613010831,-56.1497022351014,0.503357699799294,0.443269513890864,-1,1889,TRUE
218,45,-54.5546365094029,0.503357699799294,0.503357699799294,-1,1890,TRUE
219,48.3772898306523,-52.8446117912164,0.503357699799294,0.566493002730344,-1,2035,TRUE
220,51.519209195562,-51.0296093712881,0.503357699799294,0.633243016177569,-1,2181,TRUE
221,54.4461139234604,-49.1183572808101,0.503357699799294,0.704279460865044,-1,2182,TRUE
222,57.178255642105,-47.1184427662998,0.503357699799294,0.780407659653944,-1,2327,TRUE
223,59.7350937768602,-45.0364582706496,0.503357699799294,0.86260593225674,-1,2472,TRUE
224,62.1348995338213,-42.8781601510149,0.503357699799294,0.952079146700925,-1,2617,TRUE
225,-65.0342299157438,-43.5970770984928,0.443269513890864,-0.952079146700925,-1,2710,TRUE
226,-62.8026124313772,-45.877375104203,0.443269513890864,-0.86260593225674,-1,2567,TRUE
227,-60.4035380232555,-48.0917103720282,0.443269513890864,-0.780407659653944,-1,2424,TRUE
228,-57.8139206084493,-50.2339812462739,0.443269513890864,-0.704279460865044,-1,2281,TRUE
229,-55.0080160804717,-52.2970073436731,0.443269513890864,-0.633243016177569,-1,2138,TRUE
230,-51.957526333335,-54.2722810910179,0.443269513890864,-0.566493002730344,-1,1995,TRUE
